LAT,LON,YEAR,MO,DY,T2M
37.5,-8.125,2024,1,10,10.88
37.5,-7.5,2024,1,10,10.82
37.5,-6.875,2024,1,10,10.01
37.5,-6.25,2024,1,10,9.21
38.0,-9.375,2024,1,10,15.73
38.0,-8.75,2024,1,10,12.95
38.0,-8.125,2024,1,10,10.81
38.0,-7.5,2024,1,10,10.19
38.0,-6.875,2024,1,10,9.05
38.0,-6.25,2024,1,10,8.22
38.5,-9.375,2024,1,10,14.48
38.5,-8.75,2024,1,10,12.06
38.5,-8.125,2024,1,10,10.27
38.5,-7.5,2024,1,10,9.46
38.5,-6.875,2024,1,10,8.73
38.5,-6.25,2024,1,10,7.84
39.0,-9.375,2024,1,10,12.92
39.0,-8.75,2024,1,10,10.31
39.0,-8.125,2024,1,10,9.65
39.0,-7.5,2024,1,10,8.56
39.0,-6.875,2024,1,10,8.03
39.0,-6.25,2024,1,10,7.73
39.5,-9.375,2024,1,10,13.83
39.5,-8.75,2024,1,10,10.12
39.5,-8.125,2024,1,10,8.38
39.5,-7.5,2024,1,10,7.24
39.5,-6.875,2024,1,10,6.98
39.5,-6.25,2024,1,10,6.94
40.0,-9.375,2024,1,10,14.79
40.0,-8.75,2024,1,10,10.5
40.0,-8.125,2024,1,10,6.99
40.0,-7.5,2024,1,10,5.27
40.0,-6.875,2024,1,10,5.49
40.0,-6.25,2024,1,10,5.74
40.5,-9.375,2024,1,10,15.0
40.5,-8.75,2024,1,10,10.67
40.5,-8.125,2024,1,10,7.73
40.5,-7.5,2024,1,10,5.15
40.5,-6.875,2024,1,10,4.47
40.5,-6.25,2024,1,10,3.86
41.0,-9.375,2024,1,10,14.99
41.0,-8.75,2024,1,10,11.13
41.0,-8.125,2024,1,10,6.85
41.0,-7.5,2024,1,10,5.23
41.0,-6.875,2024,1,10,5.58
41.0,-6.25,2024,1,10,4.54
41.5,-9.375,2024,1,10,14.55
41.5,-8.75,2024,1,10,10.28
41.5,-8.125,2024,1,10,6.56
41.5,-7.5,2024,1,10,5.29
41.5,-6.875,2024,1,10,4.79
41.5,-6.25,2024,1,10,4.28
42.0,-9.375,2024,1,10,13.78
42.0,-8.75,2024,1,10,9.09
42.0,-8.125,2024,1,10,5.75
42.0,-7.5,2024,1,10,4.55
42.0,-6.875,2024,1,10,2.82
42.0,-6.25,2024,1,10,2.48
37.0,-9.375,2024,1,11,15.7
37.0,-8.75,2024,1,11,14.78
37.0,-8.125,2024,1,11,13.82
37.0,-7.5,2024,1,11,14.23
37.0,-6.875,2024,1,11,13.69
37.0,-6.25,2024,1,11,11.19
37.5,-9.375,2024,1,11,15.27
37.5,-8.75,2024,1,11,11.79
37.5,-8.125,2024,1,11,9.47
37.5,-7.5,2024,1,11,9.57
37.5,-6.875,2024,1,11,9.88
37.5,-6.25,2024,1,11,9.64
38.0,-9.375,2024,1,11,14.91
38.0,-8.75,2024,1,11,11.8
38.0,-8.125,2024,1,11,9.56
38.0,-7.5,2024,1,11,8.91
38.0,-6.875,2024,1,11,8.23
38.0,-6.25,2024,1,11,7.82
38.5,-9.375,2024,1,11,13.87
38.5,-8.75,2024,1,11,11.51
38.5,-8.125,2024,1,11,9.33
38.5,-7.5,2024,1,11,8.45
38.5,-6.875,2024,1,11,8.03
38.5,-6.25,2024,1,11,7.19
39.0,-9.375,2024,1,11,12.52
39.0,-8.75,2024,1,11,10.63
39.0,-8.125,2024,1,11,9.15
39.0,-7.5,2024,1,11,7.71
39.0,-6.875,2024,1,11,7.46
39.0,-6.25,2024,1,11,7.05
39.5,-9.375,2024,1,11,12.85
39.5,-8.75,2024,1,11,9.58
39.5,-8.125,2024,1,11,7.6
39.5,-7.5,2024,1,11,6.66
