classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
New building,Paranhos,41.17102910197054,-8.625379798573164,873.08,969.45,221.98,3437709.8,639559.59
New building,Paranhos,41.17699469753635,-8.613425731354413,5702.28,969.45,221.98,22452483.32,4177112.62
New building,Campanhã,41.16173183459581,-8.583736679173972,16157.27,969.45,221.98,63618576.12,11835749.0
New building,Paranhos,41.1763369809837,-8.592824406567853,1366.07,969.45,221.98,5378858.91,1000695.52
Commercial building,Paranhos,41.178057113399326,-8.588444589408162,4439.24,969.45,221.98,63561241.39,11825082.31
New building,"Aldoar, Foz do Douro e Nevogilde",41.150862178971195,-8.671558237566323,99.76,969.45,221.98,392817.45,73080.68
New building,Ramalde,41.16315499743526,-8.647138108583139,299.62,969.45,221.98,1179736.96,219481.03
New building,Ramalde,41.16353701859304,-8.648240366881645,25.9,969.45,221.98,101969.31,18970.61
Old building,Ramalde,41.16459409555282,-8.64611417052883,817.5,969.45,221.98,43475490.67,8710457.73
Old building,Ramalde,41.16336917612322,-8.64637437677607,326.08,969.45,221.98,17341165.81,3474359.68
New building,Ramalde,41.18030550782009,-8.649248424582726,290.23,969.45,221.98,1142783.35,212606.09
Old building,Bonfim,41.164310582799736,-8.58997142383682,1117.99,969.45,221.98,59455902.67,11912185.89
Old building,Lordelo do Ouro e Massarelos,41.146818893758294,-8.625888187453656,6170.82,969.45,221.98,328172006.22,65750342.15
New building,Campanhã,41.163927655099,-8.583841809595647,18928.84,969.45,221.98,74531509.32,13866016.67
New building,"Aldoar, Foz do Douro e Nevogilde",41.147291185214044,-8.661650920043739,234.95,969.45,221.98,925119.73,172111.44
New building,"Aldoar, Foz do Douro e Nevogilde",41.152546577770465,-8.672972450000337,605.9,969.45,221.98,2385691.69,443839.67
Old building,"Aldoar, Foz do Douro e Nevogilde",41.15252100392627,-8.67095498992962,1487.99,969.45,221.98,79133067.56,15854570.68
New building,"Aldoar, Foz do Douro e Nevogilde",41.154183158057165,-8.673556096739462,174.7,969.45,221.98,687864.38,127971.9
Old building,Paranhos,41.17743623183105,-8.594703830814845,910.35,969.45,221.98,48413747.53,9699853.75
Old building,Campanhã,41.16472075004066,-8.580432850234459,293.56,969.45,221.98,15611947.16,3127905.02
Old building,Ramalde,41.16351068491872,-8.640257305891502,672.08,969.45,221.98,35742168.06,7161061.07
Commercial building,"Aldoar, Foz do Douro e Nevogilde",41.171444825800776,-8.687819165004589,1591.02,969.45,221.98,22780225.68,4238086.57
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15603873768892,-8.62269623760751,309.73,969.45,221.98,1219559.41,226889.69
New building,"Aldoar, Foz do Douro e Nevogilde",41.16866604403476,-8.687473261419774,1296.26,969.45,221.98,5103980.62,949556.52
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.150199132475464,-8.60469665815068,6333.18,969.45,221.98,24936640.58,4639271.06
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14308151476747,-8.614250800627703,418.77,969.45,221.98,1648878.34,306761.19
