parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
ramalde,41.17874,-8.62583,0.75197,0.94131,0.79811,0.28210,0.57500,0.84890,0.66451
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.73858,0.95559,0.77189,1.00000,0.17391,0.88222,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.73897,0.95559,0.74006,1.00000,0.17391,1.00000,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.71479,0.95559,0.71377,1.00000,0.17391,0.90116,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.70770,0.95559,0.69747,1.00000,0.17391,0.90310,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16076,-8.61973,0.70417,0.95559,0.69483,1.00000,0.17391,0.88443,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16526,-8.61977,0.70984,0.95559,0.70656,1.00000,0.17391,0.88753,0.71808
paranhos,41.16976,-8.61980,0.73287,0.93487,0.72979,0.34540,0.58478,0.85907,0.71881
paranhos,41.17426,-8.61983,0.74498,0.93487,0.76011,0.34540,0.58478,0.84683,0.71881
paranhos,41.17876,-8.61987,0.76377,0.93487,0.79359,0.34540,0.58478,0.87662,0.71881
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14277,-8.61365,0.73992,0.95559,0.77557,1.00000,0.17391,0.87975,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14728,-8.61368,0.72834,0.95559,0.74455,1.00000,0.17391,0.89878,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15178,-8.61371,0.71395,0.95559,0.71907,1.00000,0.17391,0.87536,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15628,-8.61374,0.70458,0.95559,0.70334,1.00000,0.17391,0.85703,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16078,-8.61378,0.70584,0.95559,0.70081,1.00000,0.17391,0.87623,0.71808
paranhos,41.16528,-8.61381,0.72723,0.93487,0.71211,0.34540,0.58478,0.87764,0.71881
paranhos,41.16979,-8.61384,0.73449,0.93487,0.73459,0.34540,0.58478,0.85480,0.71881
paranhos,41.17429,-8.61388,0.74760,0.93487,0.76407,0.34540,0.58478,0.85349,0.71881
paranhos,41.17879,-8.61391,0.76238,0.93487,0.79679,0.34540,0.58478,0.85399,0.71881
paranhos,41.18329,-8.61394,0.78081,0.93487,0.83022,0.34540,0.58478,0.88106,0.71881
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.74299,0.95559,0.78751,1.00000,0.17391,0.86130,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.74064,0.95559,0.75900,1.00000,0.17391,0.94511,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.72248,0.95559,0.73594,1.00000,0.17391,0.88291,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.71333,0.95559,0.72189,1.00000,0.17391,0.86025,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.71667,0.95559,0.71965,1.00000,0.17391,0.89506,0.71808
paranhos,41.16531,-8.60785,0.73394,0.93487,0.72970,0.34540,0.58478,0.86796,0.71881
paranhos,41.16981,-8.60788,0.74042,0.93487,0.74994,0.34540,0.58478,0.84693,0.71881
paranhos,41.17431,-8.60792,0.75782,0.93487,0.77689,0.34540,0.58478,0.88917,0.71881
paranhos,41.17881,-8.60795,0.77155,0.93487,0.80728,0.34540,0.58478,0.88957,0.71881
paranhos,41.18332,-8.60798,0.78468,0.93487,0.83874,0.34540,0.58478,0.88135,0.71881
bonfim,41.14282,-8.60173,0.74494,0.97790,0.80602,0.25289,0.45217,0.84476,0.68189
bonfim,41.14732,-8.60177,0.73726,0.97790,0.78095,0.25289,0.45217,0.87358,0.68189
bonfim,41.15183,-8.60180,0.72718,0.97790,0.76112,0.25289,0.45217,0.86430,0.68189
bonfim,41.15633,-8.60183,0.72019,0.97790,0.74923,0.25289,0.45217,0.85119,0.68189
bonfim,41.16083,-8.60186,0.72159,0.97790,0.74735,0.25289,0.45217,0.86911,0.68189
paranhos,41.16533,-8.60189,0.74559,0.93487,0.75582,0.34540,0.58478,0.86718,0.71881
paranhos,41.16983,-8.60193,0.75562,0.93487,0.77311,0.34540,0.58478,0.88512,0.71881
paranhos,41.17434,-8.60196,0.76356,0.93487,0.79662,0.34540,0.58478,0.86404,0.71881
paranhos,41.17884,-8.60199,0.77705,0.93487,0.82370,0.34540,0.58478,0.87449,0.71881
paranhos,41.18334,-8.60202,0.78856,0.93487,0.85230,0.34540,0.58478,0.86360,0.71881
bonfim,41.14285,-8.59578,0.75859,0.97790,0.82894,0.25289,0.45217,0.87141,0.68189
bonfim,41.14735,-8.59581,0.74712,0.97790,0.80753,0.25289,0.45217,0.85671,0.68189
bonfim,41.15185,-8.59584,0.74164,0.97790,0.79096,0.25289,0.45217,0.87251,0.68189
bonfim,41.15635,-8.59587,0.73904,0.97790,0.78121,0.25289,0.45217,0.88686,0.68189
bonfim,41.16085,-8.59591,0.73528,0.97790,0.77968,0.25289,0.45217,0.86225,0.68189
paranhos,41.16536,-8.59594,0.75833,0.93487,0.78660,0.34540,0.58478,0.85827,0.71881
paranhos,41.16986,-8.59597,0.76386,0.93487,0.80095,0.34540,0.58478,0.85087,0.71881
paranhos,41.17436,-8.59600,0.77170,0.93487,0.82086,0.34540,0.58478,0.84192,0.71881
paranhos,41.17886,-8.59603,0.79097,0.93487,0.84433,0.34540,0.58478,0.91152,0.71881
bonfim,41.14287,-8.58982,0.76401,0.97790,0.85433,0.25289,0.45217,0.82334,0.68189
bonfim,41.14737,-8.58985,0.76043,0.97790,0.83632,0.25289,0.45217,0.85961,0.68189
campanhã,41.15187,-8.58989,0.75322,0.92138,0.82266,0.13861,0.63478,0.88880,0.56374
campanhã,41.15638,-8.58992,0.74479,0.92138,0.81474,0.13861,0.63478,0.84991,0.56374
campanhã,41.16088,-8.58995,0.74696,0.92138,0.81351,0.13861,0.63478,0.87167,0.56374
bonfim,41.16538,-8.58998,0.75144,0.97790,0.81911,0.25289,0.45217,0.84962,0.68189
paranhos,41.16988,-8.59001,0.77562,0.93487,0.83086,0.34540,0.58478,0.83721,0.71881
paranhos,41.17438,-8.59004,0.78686,0.93487,0.84749,0.34540,0.58478,0.86730,0.71881
paranhos,41.17889,-8.59007,0.79481,0.93487,0.86751,0.34540,0.58478,0.85880,0.71881
campanhã,41.14289,-8.58387,0.77200,0.92138,0.88072,0.13861,0.63478,0.83006,0.56374
campanhã,41.14740,-8.58390,0.76865,0.92138,0.86565,0.13861,0.63478,0.85751,0.56374
campanhã,41.15190,-8.58393,0.76736,0.92138,0.85441,0.13861,0.63478,0.88768,0.56374
campanhã,41.15640,-8.58396,0.75833,0.92138,0.84798,0.13861,0.63478,0.83857,0.56374
campanhã,41.16090,-8.58399,0.76363,0.92138,0.84698,0.13861,0.63478,0.88458,0.56374
campanhã,41.16540,-8.58402,0.76122,0.92138,0.85152,0.13861,0.63478,0.84893,0.56374
campanhã,41.16991,-8.58405,0.76542,0.92138,0.86114,0.13861,0.63478,0.84789,0.56374
paranhos,41.17441,-8.58408,0.79913,0.93487,0.87496,0.34540,0.58478,0.86653,0.71881
paranhos,41.17891,-8.58411,0.80313,0.93487,0.89193,0.34540,0.58478,0.83745,0.71881
campanhã,41.14292,-8.57791,0.78241,0.92138,0.90714,0.13861,0.63478,0.81821,0.56374
campanhã,41.14742,-8.57794,0.77833,0.92138,0.89450,0.13861,0.63478,0.83111,0.56374
campanhã,41.15192,-8.57797,0.77376,0.92138,0.88521,0.13861,0.63478,0.82794,0.56374
campanhã,41.15642,-8.57800,0.77281,0.92138,0.87995,0.13861,0.63478,0.83932,0.56374
campanhã,41.16093,-8.57803,0.77282,0.92138,0.87913,0.13861,0.63478,0.84238,0.56374
campanhã,41.16543,-8.57806,0.77610,0.92138,0.88284,0.13861,0.63478,0.85520,0.56374
campanhã,41.16993,-8.57809,0.77677,0.92138,0.89076,0.13861,0.63478,0.83206,0.56374
campanhã,41.17443,-8.57813,0.78329,0.92138,0.90229,0.13861,0.63478,0.84277,0.56374
paranhos,41.17893,-8.57816,0.81208,0.93487,0.91666,0.34540,0.58478,0.82008,0.71881
campanhã,41.14294,-8.57196,0.79281,0.92138,0.93298,0.13861,0.63478,0.80843,0.56374
campanhã,41.14744,-8.57199,0.79439,0.92138,0.92234,0.13861,0.63478,0.85939,0.56374
campanhã,41.15194,-8.57202,0.78938,0.92138,0.91460,0.13861,0.63478,0.84717,0.56374
campanhã,41.15645,-8.57205,0.78530,0.92138,0.91025,0.13861,0.63478,0.83013,0.56374
campanhã,41.16095,-8.57208,0.78677,0.92138,0.90958,0.13861,0.63478,0.84434,0.56374
campanhã,41.16545,-8.57211,0.78963,0.92138,0.91263,0.13861,0.63478,0.85621,0.56374
campanhã,41.16995,-8.57214,0.79044,0.92138,0.91921,0.13861,0.63478,0.83900,0.56374
campanhã,41.17445,-8.57217,0.79143,0.92138,0.92888,0.13861,0.63478,0.81216,0.56374
paranhos,41.17896,-8.57220,0.82446,0.93487,0.94109,0.34540,0.58478,0.83110,0.71881
campanhã,41.14746,-8.56603,0.80166,0.92138,0.94889,0.13861,0.63478,0.82194,0.56374
campanhã,41.15197,-8.56606,0.81010,0.92138,0.94238,0.13861,0.63478,0.91291,0.56374
campanhã,41.15647,-8.56609,0.79787,0.92138,0.93875,0.13861,0.63478,0.82815,0.56374
campanhã,41.16097,-8.56612,0.79945,0.92138,0.93819,0.13861,0.63478,0.84280,0.56374
campanhã,41.16547,-8.56615,0.79765,0.92138,0.94074,0.13861,0.63478,0.81923,0.56374
campanhã,41.15199,-8.56010,0.81035,0.92138,0.96855,0.13861,0.63478,0.82069,0.56374
campanhã,41.15649,-8.56013,0.80748,0.92138,0.96548,0.13861,0.63478,0.80874,0.56374
